readout_id,trace_id,source,step_index,first_error,invalid_so_far,error_onset,direction_type,direction_index,alpha,verdict_score,baseline_verdict_score,delta_verdict_score
step-error-yes-no-v1,omnimath-575,omnimath,3,-1,0,0,learned,-1,0.0,-0.3852839469909668,-0.3852839469909668,0.0
step-error-yes-no-v1,gsm8k-264,gsm8k,2,1,1,0,learned,-1,0.0,-0.18533319234848022,-0.18533319234848022,0.0
step-error-yes-no-v1,omnimath-523,omnimath,2,0,1,0,learned,-1,0.0,0.031239837408065796,0.031239837408065796,0.0
step-error-yes-no-v1,olympiadbench-586,olympiadbench,9,-1,0,0,learned,-1,0.0,-0.18533319234848022,-0.18533319234848022,0.0
step-error-yes-no-v1,gsm8k-161,gsm8k,3,2,1,0,learned,-1,0.0,0.35835739970207214,0.35835739970207214,0.0
step-error-yes-no-v1,omnimath-63,omnimath,1,2,0,0,learned,-1,0.0,0.44974058866500854,0.44974058866500854,0.0
step-error-yes-no-v1,math-304,math,1,3,0,0,learned,-1,0.0,0.5098299980163574,0.5098299980163574,0.0
step-error-yes-no-v1,olympiadbench-884,olympiadbench,0,-1,0,0,learned,-1,0.0,0.06241875886917114,0.06241875886917114,0.0
step-error-yes-no-v1,omnimath-514,omnimath,6,1,1,0,learned,-1,0.0,-0.12435302138328552,-0.12435302138328552,0.0
step-error-yes-no-v1,olympiadbench-275,olympiadbench,6,1,1,0,learned,-1,0.0,-0.41157007217407227,-0.41157007217407227,0.0
step-error-yes-no-v1,omnimath-573,omnimath,0,1,0,0,learned,-1,0.0,0.33082112669944763,0.33082112669944763,0.0
step-error-yes-no-v1,omnimath-674,omnimath,0,-1,0,0,learned,-1,0.0,0.18533319234848022,0.18533319234848022,0.0
step-error-yes-no-v1,math-885,math,2,-1,0,0,learned,-1,0.0,0.7340714931488037,0.7340714931488037,0.0
step-error-yes-no-v1,math-384,math,1,4,0,0,learned,-1,0.0,0.06241875886917114,0.06241875886917114,0.0
step-error-yes-no-v1,olympiadbench-886,olympiadbench,5,-1,0,0,learned,-1,0.0,0.7117023468017578,0.7117023468017578,0.0
step-error-yes-no-v1,olympiadbench-118,olympiadbench,9,8,1,0,learned,-1,0.0,-0.5098299980163574,-0.5098299980163574,0.0
step-error-yes-no-v1,olympiadbench-200,olympiadbench,1,3,0,0,learned,-1,0.0,0.719327449798584,0.719327449798584,0.0
step-error-yes-no-v1,math-259,math,5,2,1,0,learned,-1,0.0,0.07796642184257507,0.07796642184257507,0.0
step-error-yes-no-v1,math-98,math,2,0,1,0,learned,-1,0.0,0.8526074290275574,0.8526074290275574,0.0
step-error-yes-no-v1,math-499,math,4,3,1,0,learned,-1,0.0,-0.653423547744751,-0.653423547744751,0.0
step-error-yes-no-v1,math-648,math,0,-1,0,0,learned,-1,0.0,0.7481544017791748,0.7481544017791748,0.0
step-error-yes-no-v1,olympiadbench-360,olympiadbench,1,1,1,1,learned,-1,0.0,0.33082112669944763,0.33082112669944763,0.0
